SUBJECT_NAME,SUBJECT_GROUP,SUBJECT_AGE,VALUE
AW001CG,YNG,19.0,7.287307400188199
CP001CTA,OLD,65.0,6.787149476005126
AW002AF,YNG,19.0,5.527820962464158
