SUBJECT_NAME,SUBJECT_GROUP,SUBJECT_AGE,VALUE
CP001CTA,OLD,65.0,302.85714285714283
AW002AF,YNG,19.0,301.64285714285717
AW001CG,YNG,19.0,193.5
