SUBJECT_NAME,SUBJECT_GROUP,SUBJECT_AGE,VALUE
AW002AF,YNG,19.0,179.07142857142858
CP001CTA,OLD,65.0,178.25
AW001CG,YNG,19.0,167.39285714285714
