SUBJECT_NAME,SUBJECT_GROUP,SUBJECT_AGE,VALUE
AW001CG,YNG,19.0,26.989311481388352
CP001CTA,OLD,65.0,19.001667465188962
AW002AF,YNG,19.0,17.735394585098952
