SUBJECT_NAME,SUBJECT_GROUP,SUBJECT_AGE,VALUE
CP001CTA,OLD,65.0,2.3751202987125537
AW002AF,YNG,19.0,2.285937808276594
AW001CG,YNG,19.0,2.072920766449436
