SUBJECT_NAME,SUBJECT_GROUP,SUBJECT_AGE,VALUE
MP1,YNG,,2.64511313876354
AW002AF,YNG,19.0,2.0347713459085908
AW001CG,YNG,19.0,1.0835040427523361
