SUBJECT_NAME,SUBJECT_GROUP,SUBJECT_AGE,VALUE
MP1,YNG,,2.7253429520687398
AW002AF,YNG,19.0,1.571052945543022
AW001CG,YNG,19.0,1.215930908374666
